AttackCount,Country
26755,Iraq
16313,Afghanistan
15208,Pakistan
13477,India
8742,Colombia
7976,Philippines
6109,Peru
5526,Yemen
5424,United Kingdom
5320,El Salvador
5070,Nigeria
5037,Somalia
4464,Turkey
4162,Thailand
3255,Spain
3040,Sri Lanka
3004,United States
2749,Algeria
2737,Syria
2726,France
2608,West Bank and Gaza Strip
2597,Egypt
2496,Lebanon
2488,Libya
2444,Chile
2230,Russia
2136,Israel
2080,South Africa
2052,Guatemala
1980,Nicaragua
1780,Ukraine
1714,Bangladesh
1589,Italy
1514,Nepal
1334,Greece
1188,Democratic Republic of the Congo
1035,Sudan
869,Mali
831,Indonesia
821,Argentina
783,Kenya
775,Germany
733,Cameroon
705,Iran
678,Myanmar
629,Burundi
582,Mexico
565,Mozambique
541,West Germany (FRG)
521,Saudi Arabia
500,Angola
408,Uganda
405,Japan
346,Central African Republic
328,Honduras
323,Ireland
317,Bolivia
313,Venezuela
307,South Sudan
287,Brazil
284,Burkina Faso
266,China
260,Cambodia
238,Ecuador
227,Ethiopia
222,Haiti
222,Niger
218,Georgia
208,Bahrain
203,Yugoslavia
198,Kosovo
193,Tajikistan
167,Rwanda
161,Bosnia-Herzegovina
158,Belgium
151,Namibia
145,Tunisia
143,Sweden
140,Netherlands
140,Portugal
127,Panama
122,Senegal
121,Jordan
119,Cyprus
118,Paraguay
118,Macedonia
117,Chad
116,Austria
115,Australia
114,Switzerland
112,Canada
108,Malaysia
105,Zimbabwe
101,Sierra Leone
90,Dominican Republic
89,Papua New Guinea
83,Rhodesia
82,Uruguay
81,Albania
78,Soviet Union
77,Ivory Coast
76,Kuwait
69,Costa Rica
66,Suriname
63,Tanzania
62,Zambia
57,Croatia
56,Guadeloupe
54,Taiwan
53,Bulgaria
51,New Caledonia
50,Azerbaijan
50,Zaire
48,Togo
47,Hungary
45,Denmark
40,South Korea
40,Poland
38,East Germany (GDR)
37,Morocco
37,Kyrgyzstan
36,Republic of the Congo
36,Jamaica
35,Liberia
33,Macau
32,Czech Republic
30,Cuba
29,Lesotho
28,Kazakhstan
27,Laos
27,Guinea
27,Guyana
27,Maldives
27,Madagascar
26,Hong Kong
25,Armenia
24,Ghana
24,Finland
24,Trinidad and Tobago
23,Malta
22,Norway
22,Djibouti
22,United Arab Emirates
22,New Zealand
21,Uzbekistan
21,Moldova
19,Mauritania
19,Slovak Republic
17,Latvia
17,Fiji
16,Swaziland
16,Luxembourg
15,Estonia
14,Serbia
13,Vietnam
13,Belarus
12,Malawi
12,Martinique
11,Serbia-Montenegro
10,Czechoslovakia
10,Eritrea
10,Lithuania
10,East Timor
10,Botswana
9,Benin
9,Gabon
9,Guinea-Bissau
8,Belize
8,Comoros
8,Montenegro
7,Qatar
7,Singapore
7,French Guiana
7,Western Sahara
6,Romania
6,Brunei
6,Slovenia
6,North Yemen
6,Bhutan
5,Bahamas
5,Grenada
4,Solomon Islands
4,Iceland
4,People's Republic of the Congo
3,Gambia
3,Barbados
3,Dominica
3,French Polynesia
2,Seychelles
2,South Yemen
2,Turkmenistan
2,Equatorial Guinea
2,St. Kitts and Nevis
2,Mauritius
2,Vanuatu
1,Andorra
1,St. Lucia
1,North Korea
1,Vatican City
1,New Hebrides
1,International
1,South Vietnam
1,Falkland Islands
1,Wallis and Futuna
1,Antigua and Barbuda