AttackCount,Year
16959,2014
15133,2015
14046,2016
12045,2013
11358,2017
9840,2018
8521,2012
8495,2019
5076,2011
5071,1992
4826,2010
4801,2008
4722,2009
4683,1991
4324,1989
3886,1990
3720,1988
3495,1984
3456,1994
3247,2007
3198,1997
3183,1987
3081,1995
3058,1996
2914,1985
2870,1983
2860,1986
2757,2006
2662,1979
2661,1980
2586,1981
2543,1982
2017,2005
1912,2001
1823,2000
1526,1978
1396,1999
1330,2002
1319,1977
1278,2003
1164,2004
934,1998
923,1976
740,1975
651,1970
581,1974
568,1972
473,1973
471,1971